"initpop","tau_I","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
20000,0.3,365,0.0290866769336788,0.0267627474359385,0.031408480270665,4.89715964740451e-05,0.0797215140223573,592.603644646925,1,1626,20221.291571754,20151,20291,20374.8200455581,20315,20436,291,439
30000,0.3,365,0.0342590378652637,0.0324091083880458,0.0359718457523147,3.26786706316787e-05,0.0652138346258303,1047.06147540984,1,1993,30331.6495901639,30259,30413,30562.2110655738,30487,30639,200,488
40000,0.3,365,0.0401521353423876,0.0385652960058877,0.0416444763880062,2.45314493180257e-05,0.0626304801670146,1636.2303030303,1,2550,40442.1797979798,40346,40544,40749.5414141414,40672,40843,126,495
50000,0.3,365,0.042103276546621,0.0409578049293128,0.0432407720387236,1.96278558530266e-05,0.0564726666012366,2144.66666666667,1,2877,50552.3333333333,50441,50656,50937.2309236948,50835,51032,62,498
60000,0.3,365,0.0449747429879787,0.0440635825325469,0.0458261596041632,3.27171601504989e-05,0.0598026218883488,2749.07630522088,2,3654,60662.6385542169,60552,60772,61124.8112449799,61017,61224,33,498
70000,0.3,365,0.0442015839464974,0.0435220135814001,0.0448563533012482,0.0019506307975133,0.055359246171967,3152.108,139,3948,70772.8,70652,70904,71312.04,71196,71429,19,500
80000,0.3,365,0.0459110704880222,0.0453700495692459,0.0464081142630232,0.00180474389824682,0.0557293391724629,3741.752,147,4543,80882.854,80753,81001,81499.484,81381,81622,9,500
90000,0.3,365,0.0447660237350261,0.0442399314821867,0.0452087772826456,3.26840109818277e-05,0.0563053242052937,4104.482,3,5165,90994.262,90844,91126,91687.512,91566,91805,6,500
1e+05,0.3,365,0.0461043881932269,0.0457258651928884,0.0464368083862516,0.00353374233128834,0.0557884711681018,4696.828,360,5682,101103.85,100925,101241,101874.078,101746,102000,3,500
150000,0.3,365,0.0455260535628991,0.0453006173634822,0.0457598102542484,0.038350108235725,0.052920998193197,6956.914,5864,8084,151657.052,151460,151824,152811.788,152655,152968,0,500
2e+05,0.3,365,0.0465498966356357,0.0463242918473552,0.0467742105684046,0.0384605944579437,0.0538821346709793,9484.508,7835,10978,202207.95,201976,202410,203749.146,203571,203931,0,500
250000,0.3,365,0.0461088377663187,0.045909168144304,0.046299332516956,0.0407081730391772,0.0528516572828571,11743.282,10370,13461,252760.594,252517,252986,254686.422,254490,254888,0,500
3e+05,0.3,365,0.0465805981702759,0.0464206604388873,0.0467435307410055,0.0405103803963662,0.0533504361882448,14236.132,12379,16304,303312.952,303035,303567,305624,305397,305848,0,500
350000,0.3,365,0.0465846456652707,0.0464054039704409,0.0467632554042632,0.040647077465875,0.0529286038853578,16610.302,14493,18870,353865.478,353572,354130,356561.456,356311,356792,0,500
4e+05,0.3,365,0.0468332969976733,0.0466735829075075,0.0469946762971119,0.0411212935889637,0.0541668814100912,19084.518,16764,22071,404417.716,404111,404706,407499.004,407243,407760,0,500
450000,0.3,365,0.0470264080504727,0.0468758647077735,0.0471718578560929,0.0411706814645738,0.0521840238919539,21558.6,18867,23921,454969.446,454642,455282,458436.062,458157,458703,0,500
5e+05,0.3,365,0.0469655254556474,0.0468189677165609,0.0471114909601159,0.0415351083883129,0.0526015090146248,23922.99,21153,26792,505521.934,505168,505850,509373.652,509091,509650,0,500
550000,0.3,365,0.0469390792683713,0.0467969517347128,0.0470798551165786,0.0426575722856949,0.0524429979051351,26300.47,23903,29390,556073.688,555717,556406,560310.742,560005,560595,0,500
6e+05,0.3,365,0.0471445156604693,0.0470145416276967,0.0472733796061219,0.0432403168481363,0.0516854925263737,28816.672,26437,31591,606618.524,606254,607039,611241.316,610890,611530,0,500
650000,0.3,365,0.0471052011090813,0.0469724184470146,0.0472495494321361,0.0428441148227109,0.0514726524648855,31191.994,28373,34103,657168.968,656730,657614,662176.848,661826,662546,0,500
7e+05,0.3,365,0.0471613337436109,0.0470256801201581,0.0472876117576628,0.0427914060955068,0.0511663062714379,33631.336,30511,36487,707718.798,707331,708147,713112.248,712742,713446,0,500
750000,0.3,365,0.0470660751146706,0.0469344334534352,0.0472009766580064,0.0427864446346181,0.0520734082318573,35960.718,32698,39787,758268.606,757769,758733,764047.688,763627,764431,0,500
8e+05,0.3,365,0.0471913921118157,0.0470654765750973,0.0473095285402958,0.0438499091470125,0.0514064277361318,38460.462,35740,41893,808824.094,808431,809271,814988.952,814603,815348,0,500
850000,0.3,365,0.0471323402028666,0.0470130147989752,0.0472485423497733,0.042126777559021,0.0510223174994052,40813.304,36482,44174,859380.372,858900,859809,865929.988,865571,866291,0,500
9e+05,0.3,365,0.0472298920250397,0.047116755199191,0.0473510160326541,0.0437317943231551,0.0515118961276918,43303.642,40100,47231,909934.552,909501,910418,916869.422,916484,917233,0,500
950000,0.3,365,0.0471113376341591,0.0469975017594806,0.0472307294810802,0.0436435108256244,0.0508245192456697,45594.326,42234,49196,960479.664,960042,960981,967799.292,967391,968198,0,500
1e+06,0.3,365,0.0471428417427017,0.0470213180449416,0.0472523621574679,0.0435682977625021,0.0507822624349096,48026.502,44392,51726,1011038.926,1010503,1011478,1018744.436,1018183,1019102,0,500
1100000,0.3,365,0.0473289513546685,0.0472170785307573,0.0474561344316094,0.044304644745344,0.0510803923248244,53037.64,49643,57246,1112140.692,1111618,1112663,1120617.02,1120229,1121094,0,500
1200000,0.3,365,0.0472105261337494,0.047105924416475,0.0473117013212535,0.0437466561736646,0.0504460115784704,57714.634,53476,61676,1213249.184,1212784,1213854,1222495.296,1222074,1222990,0,500
1300000,0.3,365,0.0472450037720094,0.0471331287522328,0.0473569188827926,0.0435822022539784,0.0505404750381847,62569.626,57717,66940,1314349.09,1313692,1314886,1324365.112,1323899,1324828,0,500
1400000,0.3,365,0.0472306540923706,0.0471243977677403,0.0473418634566116,0.0435345564874558,0.0507569049036332,67362.424,62101,72393,1415457.034,1414965,1415992,1426243.878,1425750,1426678,0,500
1500000,0.3,365,0.0472764337771282,0.0471678404766502,0.0473806007715612,0.0438200989705674,0.0513281692307189,72243.876,66954,78422,1516556.688,1515768,1517075,1528116.41,1527525,1528592,0,500
