"initpop","gamma","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
2e+06,1.5e-05,365,0.0167438291155531,0.0167215615868479,0.0167664428014805,0.0158761636654141,0.0176200599115414,34115.36,32343,35898,2022194.44,2021459,2022969,2037488.54,2036888,2038259,0,500
2100000,1.5e-05,365,0.0167307358817373,0.0167069073422959,0.0167550321381899,0.0158957632798894,0.0174222168206125,35793.158,34008,37271,2123308.432,2122637,2123888,2139365.628,2138772,2139917,0,500
2200000,1.5e-05,365,0.0167218232680008,0.0166996417163107,0.0167433142026775,0.0158345211566388,0.0174270719047974,37477.528,35493,39059,2224416.592,2223750,2225128,2241234.522,2240666,2241833,0,500
2300000,1.5e-05,365,0.0167175894426811,0.0166950936506209,0.0167410946390728,0.0160263591039577,0.0175013452233583,39171.204,37555,41014,2325531.442,2324501,2326254,2343113.238,2342357,2343660,0,500
2400000,1.5e-05,365,0.0167028704194216,0.0166816942800231,0.0167230567467878,0.0159134798869535,0.0174067899487424,40838.168,38903,42558,2426632.744,2425804,2427244,2444979.078,2444329,2445457,0,500
2500000,1.5e-05,365,0.0166982074929202,0.0166762485279079,0.0167201186073455,0.0156161552877297,0.0173277170842669,42527.92,39781,44136,2527744.692,2526961,2528482,2546855.368,2546218,2547429,0,500
10000,0.00015,365,0.0294082551072292,0.026314363947273,0.0321323978152453,9.7904836498923e-05,0.0985487350460875,299.619496855346,1,1005,10110.6698113208,10065,10153,10187.8113207547,10147,10228,279,318
20000,0.00015,365,0.0290866769336788,0.0267627474359385,0.031408480270665,4.89715964740451e-05,0.0797215140223573,592.603644646925,1,1626,20221.291571754,20151,20291,20374.8200455581,20315,20436,291,439
30000,0.00015,365,0.0342590378652637,0.0324091083880458,0.0359718457523147,3.26786706316787e-05,0.0652138346258303,1047.06147540984,1,1993,30331.6495901639,30259,30413,30562.2110655738,30487,30639,200,488
40000,0.00015,365,0.0401521353423876,0.0385652960058877,0.0416444763880062,2.45314493180257e-05,0.0626304801670146,1636.2303030303,1,2550,40442.1797979798,40346,40544,40749.5414141414,40672,40843,126,495
50000,0.00015,365,0.042103276546621,0.0409578049293128,0.0432407720387236,1.96278558530266e-05,0.0564726666012366,2144.66666666667,1,2877,50552.3333333333,50441,50656,50937.2309236948,50835,51032,62,498
60000,0.00015,365,0.0449747429879787,0.0440635825325469,0.0458261596041632,3.27171601504989e-05,0.0598026218883488,2749.07630522088,2,3654,60662.6385542169,60552,60772,61124.8112449799,61017,61224,33,498
70000,0.00015,365,0.0442015839464974,0.0435220135814001,0.0448563533012482,0.0019506307975133,0.055359246171967,3152.108,139,3948,70772.8,70652,70904,71312.04,71196,71429,19,500
80000,0.00015,365,0.0459110704880222,0.0453700495692459,0.0464081142630232,0.00180474389824682,0.0557293391724629,3741.752,147,4543,80882.854,80753,81001,81499.484,81381,81622,9,500
90000,0.00015,365,0.0447660237350261,0.0442399314821867,0.0452087772826456,3.26840109818277e-05,0.0563053242052937,4104.482,3,5165,90994.262,90844,91126,91687.512,91566,91805,6,500
1e+05,0.00015,365,0.0461043881932269,0.0457258651928884,0.0464368083862516,0.00353374233128834,0.0557884711681018,4696.828,360,5682,101103.85,100925,101241,101874.078,101746,102000,3,500
150000,0.00015,365,0.0455260535628991,0.0453006173634822,0.0457598102542484,0.038350108235725,0.052920998193197,6956.914,5864,8084,151657.052,151460,151824,152811.788,152655,152968,0,500
2e+05,0.00015,365,0.0464671497680314,0.0462665323377531,0.0466703416505011,0.039246406137193,0.0546262427887566,9467.632,7991,11126,202208.078,201978,202416,203749.14,203571,203931,0,500
250000,0.00015,365,0.0461291605847835,0.0459377677130338,0.0463255279066632,0.0391201212759106,0.0522691042162383,11748.468,9961,13312,252760.588,252513,252982,254686.416,254490,254888,0,500
3e+05,0.00015,365,0.0466968660685956,0.0465190623474376,0.0468830625677324,0.0405696231512432,0.0533509642450348,14271.684,12404,16300,303313.096,303038,303567,305624.008,305397,305848,0,500
350000,0.00015,365,0.0468173385695876,0.0466566714688294,0.0469936883170889,0.0407429951501109,0.0525293685138101,16693.258,14525,18718,353865.428,353567,354125,356561.454,356311,356792,0,500
4e+05,0.00015,365,0.046761655410715,0.0466022011432285,0.0469150264194852,0.0412229963361154,0.0519154722835198,19055.308,16798,21150,404417.696,404114,404703,407499.002,407243,407760,0,500
450000,0.00015,365,0.0468643005002217,0.0467140324805016,0.0470200415079434,0.0417919173498192,0.0522310106224063,21484.276,19158,23951,454970.082,454640,455291,458436.056,458157,458703,0,500
5e+05,0.00015,365,0.046880687890578,0.0467197904506147,0.0470298858928853,0.0414453544562543,0.0532873630019988,23879.788,21107,27140,505521.71,505184,505845,509373.648,509091,509650,0,500
550000,0.00015,365,0.0469183881825609,0.0467769130429228,0.0470649123150597,0.0427740937934088,0.0512750968902339,26288.882,23957,28736,556073.344,555727,556408,560310.722,560005,560596,0,500
6e+05,0.00015,365,0.047045781751098,0.0469033826955725,0.0471861492170542,0.0420845585768684,0.0517063386238365,28756.318,25718,31604,606618.716,606247,607016,611241.288,610890,611530,0,500
650000,0.00015,365,0.0470284068248962,0.0468969792467289,0.0471542313998225,0.0418998083518714,0.0520028141456109,31141.106,27744,34445,657168.614,656740,657605,662176.818,661840,662540,0,500
7e+05,0.00015,365,0.0470234073443818,0.0468958124755071,0.0471559247954321,0.0433715611125602,0.051541288006283,33532.974,30928,36751,707718.906,707346,708125,713112.498,712785,713440,0,500
750000,0.00015,365,0.047143149359668,0.0470150448743304,0.047271717522527,0.0422813917117636,0.0510517861841545,36019.598,32307,38998,758268.438,757771,758763,764047.806,763644,764448,0,500
8e+05,0.00015,365,0.0471145631862316,0.0469889219892103,0.0472411997405532,0.0426776148045262,0.0509417713692671,38397.842,34782,41526,808824.43,808410,809260,814988.974,814636,815349,0,500
850000,0.00015,365,0.0471839807983752,0.0470776878879026,0.047303537014514,0.0437300646937498,0.0506897005791591,40858.01,37867,43884,859380.42,858882,859784,865930.092,865561,866272,0,500
9e+05,0.00015,365,0.0471612127834712,0.0470400566629382,0.0472815267778449,0.0420524198958671,0.0520755293104106,43240.684,38550,47753,909935.062,909498,910415,916869.588,916476,917247,0,500
