"initpop","epsilon","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
4e+05,0.65,1825,0.442669752253227,0.44213540951079,0.443196762762012,0.420704921212674,0.46141047586443,194029.582,184355,202167,422403.25,421737,423071,438316.9,437659,438993,0,500
450000,0.65,1825,0.44368079366291,0.443212452015532,0.444152170306618,0.42794447204843,0.461640992556435,218782.098,211013,227547,475202.212,474451,475927,493107.306,492441,493812,0,500
5e+05,0.65,1825,0.444083345142108,0.443601198500795,0.444528823370134,0.428992235038021,0.458466153450343,243311.866,234911,251261,528003.566,527251,528784,547897,547190,548634,0,500
550000,0.65,1825,0.444977415459398,0.444554805554252,0.445422596697313,0.428359573151615,0.460907009159697,268182.188,258231,277761,580803.07,579943,581605,602687.242,601937,603484,0,500
6e+05,0.65,1825,0.445299096295226,0.444856237247122,0.445713820635231,0.429980923717671,0.458593428049628,292772.92,282878,301577,633602.06,632648,634422,657474.818,656706,658204,0,500
650000,0.65,1825,0.446035953793159,0.445609912968143,0.446474909029525,0.432401467509656,0.460241958468055,317693.296,307968,327817,686394.272,685252,687485,712259.486,711268,713111,0,500
7e+05,0.65,1825,0.446564649043898,0.446144085945495,0.446991166114646,0.43164971826629,0.460854220075514,342541.14,330708,353601,739203.084,738176,740070,767058.368,766149,767951,0,500
750000,0.65,1825,0.446889285682581,0.446535933885034,0.447288618020489,0.431391698724537,0.458679782766623,367272.238,354695,376938,791998.264,791006,792984,821841.784,820878,822656,0,500
8e+05,0.65,1825,0.447254388116276,0.446858423031917,0.447629384916054,0.434113383404423,0.460559665824841,392083.238,380437,403757,844807.968,843848,845789,876644.684,875860,877521,0,500
850000,0.65,1825,0.447722359523963,0.44732482666629,0.448077177879156,0.431841018198057,0.461950830219362,417022.364,402272,430085,897603.656,896506,898567,931430.862,930449,932289,0,500
9e+05,0.65,1825,0.447734449055073,0.447329353537954,0.448092563376749,0.436539875931402,0.458030597483225,441566.062,430317,451811,950404.966,949416,951834,986223.286,985170,987379,0,500
950000,0.65,1825,0.448157933862785,0.447799672910069,0.448545880260529,0.433892081997623,0.458005685738944,466530.702,451663,476554,1003188.558,1002224,1004188,1040996.378,1040174,1041829,0,500
1e+06,0.65,1825,0.448481787427613,0.448107007574113,0.448835260465887,0.435095066053573,0.463248034818948,491446.602,476899,507699,1056000.092,1055028,1057158,1095800.606,1094889,1096759,0,500
1100000,0.65,1825,0.448743588630065,0.448392453903123,0.449077810017108,0.437546076576887,0.46249532120013,540898.774,527625,557262,1161581.08,1160391,1162728,1205362.698,1204253,1206217,0,500
1200000,0.65,1825,0.44905078273703,0.448703585364425,0.449426636468396,0.439007993453748,0.4610685200434,590476.874,577274,606407,1267179.104,1265391,1268549,1314944.366,1313607,1316109,0,500
1300000,0.65,1825,0.449545914977102,0.449206917625785,0.44988694263969,0.437953704106658,0.459442408556996,640385.014,623936,654699,1372769.43,1371348,1373946,1424515.234,1423213,1425545,0,500
1400000,0.65,1825,0.449509393585304,0.449205671197293,0.449823055263002,0.439582328479618,0.459513708167533,689586.968,674416,704883,1478362.834,1477024,1479567,1534088.08,1532746,1535134,0,500
1500000,0.65,1825,0.449815172924306,0.449543305277773,0.450087174883363,0.439749132684911,0.459112906611852,739348.356,722762,754491,1583960.294,1582577,1585412,1643671.478,1642594,1645009,0,500
1600000,0.65,1825,0.449945651541117,0.449650475788447,0.45021577335505,0.439237783645134,0.46134172912175,788862.672,770073,808852,1689548.622,1687509,1691172,1753240.176,1751905,1754552,0,500
1700000,0.65,1825,0.450118757223446,0.449840592318606,0.45038634907809,0.440290934239111,0.459534724994527,838488.316,820004,856422,1795144.72,1793818,1796318,1862815.798,1861613,1863961,0,500
1800000,0.65,1825,0.450435883584993,0.450150370052021,0.450709994365507,0.440361433262141,0.459530233899661,888435.914,868653,906547,1900733.254,1898954,1902026,1972391.624,1970977,1973504,0,500
1900000,0.65,1825,0.450735772406849,0.450424659079201,0.45106290974896,0.440867815335293,0.459322966340506,938424.38,917505,956291,2006352.72,2004878,2007840,2081983.338,2080697,2083368,0,500
2e+06,0.65,1825,0.450635454984143,0.450350662749007,0.450924216792966,0.440516956209292,0.460366369684558,987598.096,965470,1009095,2111947.886,2110192,2113541,2191567.89,2189958,2192929,0,500
