"initpop","d","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
150000,0,1825,0.224375665892303,0.223935362847798,0.224832621140574,0.180314931950903,0.239149587735981,36943.252,29704,39359,164578.67,164186,165017,164649.19,164245,165080,2,500
2e+05,0,1825,0.226426799973853,0.226084860774623,0.226804238565616,0.21331163799783,0.238670075327765,49708.6,46801,52374,219439.44,218983,219910,219535.05,219087,220012,0,500
250000,0,1825,0.228261541375768,0.227947942444127,0.228606169654134,0.21794119469462,0.239671229679763,62639.156,59795,65726,274297.584,273766,274849,274418.346,273906,274959,0,500
3e+05,0,1825,0.229414001750387,0.229105552537358,0.229738819219536,0.219021161611561,0.239770718282392,75546.454,72139,78933,329156.766,328602,329740,329302.176,328741,329889,0,500
350000,0,1825,0.230485975358012,0.230153582658525,0.230799168242638,0.22035221788992,0.239514593206076,88549.606,84658,92034,384017.156,383419,384641,384186.518,383579,384818,0,500
4e+05,0,1825,0.231198959406356,0.230870894262693,0.231498202000633,0.219901834622086,0.24239580106067,101512.774,96549,106404,438877.698,438238,439551,439070.962,438423,439725,0,500
450000,0,1825,0.231478881319185,0.231206090673006,0.231768859187026,0.222615148206559,0.239821507821192,114339.968,110006,118396,493737.136,493056,494446,493954.372,493268,494674,0,500
5e+05,0,1825,0.23220806279419,0.231911556805771,0.232483585566028,0.221485652677511,0.241100049385956,127444.75,121616,132301,548595.628,547855,549330,548838.712,548115,549576,0,500
550000,0,1825,0.232199263417392,0.231918613885969,0.232459027075394,0.223221728545646,0.241124441603942,140183.522,134694,145630,603454.026,602884,604304,603720.748,603145,604568,0,500
6e+05,0,1825,0.232683429393114,0.232448187131313,0.232934883650426,0.223723557257867,0.240984699697579,153245.914,147311,158653,658311.056,657543,659034,658602.44,657831,659324,0,500
650000,0,1825,0.232944215372129,0.232701189131323,0.233195999963228,0.225103860978417,0.239919730865614,166202.996,160547,171087,713172.216,712320,713828,713488.33,712619,714156,0,500
7e+05,0,1825,0.233164920389503,0.232930983530718,0.233397577016171,0.223300895087427,0.242790003943551,179158.184,171638,186546,768034.564,767296,768710,768375.424,767647,769047,0,500
750000,0,1825,0.233407445323265,0.233206751889813,0.233618296318114,0.226388207819699,0.241472308605831,192154.368,186514,198858,822891.564,822064,823663,823257.4,822438,824003,0,500
8e+05,0,1825,0.233543223357088,0.233339748226956,0.233746513316595,0.225408076946285,0.241408124883309,205083.1,197982,212050,877747.496,876719,878865,878137.672,877148,879231,0,500
850000,0,1825,0.233762575593777,0.233553507983534,0.233966033502872,0.225917383278893,0.24050916496945,218106.844,210881,224371,932613.008,931739,933648,933027.316,932163,934051,0,500
9e+05,0,1825,0.233663465597775,0.233466380435156,0.233861496472114,0.225208274080694,0.241229019977697,230839,222506,238383,987473.83,986554,988378,987912.362,987003,988812,0,500
950000,0,1825,0.23390027166164,0.233721656601112,0.234086119295401,0.22606105947688,0.2395902820908,243908.134,235689,249977,1042323.728,1041157,1043272,1042786.992,1041644,1043717,0,500
1e+06,0,1825,0.233773047063679,0.233579551292138,0.233972150638056,0.224999065981781,0.241225032803616,256606.936,246916,264730,1097187.996,1096091,1098129,1097675.584,1096601,1098581,0,500
1100000,0,1825,0.233943609787168,0.233749638262395,0.234140974413828,0.225861062221762,0.241684003736856,282472.582,272699,291817,1206901.902,1205821,1208023,1207438.726,1206369,1208529,0,500
1200000,0,1825,0.234048978313342,0.233878288346523,0.234219249142527,0.228426858385749,0.24162300104919,308295.32,300885,318037,1316640.8,1315632,1317716,1317225.766,1316253,1318306,0,500
1300000,0,1825,0.234119936643156,0.233954946615714,0.234299245988499,0.22598745690326,0.240244585773121,334081.034,322358,343002,1426332.662,1425432,1427269,1426965.14,1426087,1427889,0,500
1400000,0,1825,0.23400094392779,0.233849253232057,0.234155138911029,0.228726970245681,0.239167994708664,359597.784,351412,367385,1536056.286,1534829,1537181,1536736.426,1535479,1537862,0,500
1500000,0,1825,0.234061584793868,0.233906440055002,0.234216985531982,0.229234131362377,0.240393112156123,385382.968,377514,395820,1645773.846,1644454,1647113,1646502.478,1645178,1647839,0,500
1600000,0,1825,0.234128290904343,0.233971913641055,0.234280823052501,0.228937937570769,0.238701633632505,411188.47,401950,419283,1755475.936,1754075,1756828,1756252.924,1754834,1757659,0,500
1700000,0,1825,0.234166903473258,0.23402972791436,0.234314028895945,0.229316110668446,0.238507621215182,436959.374,427955,445065,1865192.042,1864214,1866247,1866016.93,1865047,1867097,0,500
1800000,0,1825,0.234217388690791,0.23407804988188,0.234365567969025,0.228379334999436,0.239755972277398,462765.788,451339,473759,1974923.844,1973342,1976393,1975796.224,1974205,1977215,0,500
1900000,0,1825,0.234221271971206,0.234081150474969,0.234360110468391,0.228564387977542,0.239098170396726,488485.096,476754,498765,2084651.104,2083241,2085935,2085571.182,2084146,2086875,0,500
2e+06,0,1825,0.234288564776801,0.234160809589254,0.234417149090716,0.230431595386724,0.24107491794363,514342.058,506090,529266,2194367.72,2193052,2195685,2195335.668,2193989,2196674,0,500
2100000,0,1825,0.234123941927449,0.233994551961135,0.234250836302437,0.22860887969808,0.237940388338648,539678.71,526879,548489,2304085.518,2302601,2305841,2305098.306,2303611,2306837,0,500
2200000,0,1825,0.234077215808569,0.233937239336112,0.234219685301946,0.229000370956737,0.238773557949138,565267.896,553122,576588,2413816.884,2412478,2415056,2414878.062,2413628,2416092,0,500
2300000,0,1825,0.234151288783969,0.234020245346727,0.234288292227665,0.229680287187967,0.240153292453234,591145.274,580047,606413,2523521.484,2522103,2524740,2524629.544,2523201,2525842,0,500
2400000,0,1825,0.234162406629264,0.234034252682263,0.234287552365891,0.228754306989004,0.239729256030976,616879.38,602626,631642,2633251.974,2631837,2634909,2634408.208,2632892,2636090,0,500
2500000,0,1825,0.234218742217933,0.234092853401062,0.23434611113586,0.23062106108944,0.238738384140986,642737.668,632883,655069,2742970.88,2741460,2744671,2744177.004,2742759,2745884,0,500
10000,3e-06,1825,0.0299035423759842,0.026290382037342,0.0337578722867624,9.02201371346084e-05,0.158261507427104,328.072327044025,1,1726,10916.355345912,10839,11019,10973.4559748428,10886,11084,318,318
20000,3e-06,1825,0.0482735769220583,0.0433437621410671,0.0531422614245755,4.52632055402164e-05,0.21221908834501,1059.3986332574,1,4665,21832.9567198178,21710,22003,21947.9977220957,21803,22108,439,439
30000,3e-06,1825,0.0739049548925823,0.0686518823008985,0.0791246516992885,3.03085409468388e-05,0.231241826089601,2433.04508196721,1,7603,32746.0942622951,32587,32930,32921.3606557377,32744,33108,474,488
40000,3e-06,1825,0.115233470818682,0.108368847615004,0.121678846361433,2.2777486732114e-05,0.245808144177027,5058.05050505051,1,10775,43656.4808080808,43458,43861,43893.8646464646,43676,44103,430,495
50000,3e-06,1825,0.15139641295144,0.144376697438421,0.157437016070331,1.81967063961423e-05,0.232945121840086,8306.63654618474,1,12781,54568.8855421687,54355,54807,54869.6646586345,54638,55102,327,498
