"initpop","d","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
10000,2e-05,365,0.0294081858105111,0.0263142152842321,0.0321323609180634,9.7904836498923e-05,0.0985487350460875,299.619496855346,1,1005,10113.3962264151,10068,10159,10187.8364779874,10147,10228,279,318
20000,2e-05,365,0.0287703928709835,0.0264768931095573,0.0311685684989733,4.89715964740451e-05,0.0740504152130116,586.143507972665,1,1507,20226.6697038724,20158,20298,20374.867881549,20315,20436,304,439
30000,2e-05,365,0.0341981074119721,0.0323222811254628,0.0360670194962581,3.26786706316787e-05,0.0690049312563274,1045.21721311475,1,2113,30339.612704918,30267,30421,30562.2868852459,30487,30639,202,488
40000,2e-05,365,0.0406953148475469,0.0391175823038211,0.04211109821295,2.45314493180257e-05,0.0630188123188762,1658.35555555556,1,2566,40452.7919191919,40362,40556,40749.6222222222,40672,40843,123,495
50000,2e-05,365,0.0419373623717911,0.0406518833862213,0.0430756187884379,1.96278558530266e-05,0.0579485164079387,2136.1686746988,1,2949,50566.0502008032,50454,50669,50937.3574297189,50835,51032,63,498
60000,2e-05,365,0.0445395831389219,0.0435802847828573,0.0454308638784485,3.27171601504989e-05,0.0615210880345657,2722.49196787149,2,3759,60678.9297188755,60563,60784,61124.9176706827,61017,61224,38,498
70000,2e-05,365,0.0435331249480694,0.0427120305473385,0.0443288357971517,0.00182039684651254,0.0562400998079538,3104.424,130,4012,70792.278,70664,70928,71312.214,71196,71429,25,500
80000,2e-05,365,0.0456718504377238,0.0450883145132738,0.0462012048499289,0.00180474389824682,0.0553224381625442,3722.266,147,4509,80904.94,80767,81034,81499.7,81381,81623,13,500
90000,2e-05,365,0.0444804531618924,0.0439086722332372,0.044993211231926,3.26840109818277e-05,0.0549586010537914,4078.306,3,5038,91019.098,90871,91144,91687.732,91567,91807,9,500
1e+05,2e-05,365,0.0460114202531303,0.0455777431148603,0.0463997294988116,0.0025797212331656,0.0547352092210419,4687.374,263,5575,101131.288,100969,101270,101874.336,101746,102001,5,500
150000,2e-05,365,0.0454680608509767,0.0452533497714047,0.0456834408633181,0.0384016130510494,0.0525341098714131,6948.072,5866,8028,151697.752,151515,151867,152812.2,152655,152968,0,500
2e+05,2e-05,365,0.0464906797674685,0.0462880207008453,0.0466968640850319,0.0400080506997727,0.0528565609371856,9472.454,8150,10770,202262.194,202039,202473,203749.636,203571,203931,0,500
250000,2e-05,365,0.0462321636776973,0.0460497473917294,0.0464073488581382,0.0408082331091295,0.0518594684541844,11774.738,10393,13214,252828.158,252578,253044,254687.002,254490,254889,0,500
3e+05,2e-05,365,0.0467908488810111,0.0466191762271823,0.0469688586739466,0.0396701786532295,0.0533342932502569,14300.438,12124,16298,303394.878,303123,303642,305624.734,305397,305848,0,500
350000,2e-05,365,0.046562194590416,0.0463935267010437,0.0467300311570126,0.0412585569877161,0.0525838800006734,16602.34,14718,18741,353961.112,353662,354231,356562.346,356314,356792,0,500
4e+05,2e-05,365,0.0468777305843375,0.0467150624486057,0.0470364916473362,0.0414099511524583,0.0531320102690471,19102.664,16870,21648,404526.718,404222,404805,407499.982,407243,407761,0,500
450000,2e-05,365,0.0470400668545595,0.046878596217862,0.047194988323516,0.0427097967696053,0.052815788039034,21564.922,19578,24220,455091.642,454766,455405,458437.106,458157,458703,0,500
5e+05,2e-05,365,0.0468229815292978,0.0466807744108519,0.0469793003030069,0.041478282208589,0.0516335506165083,23850.452,21128,26298,505657.85,505324,505997,509374.91,509091,509653,0,500
550000,2e-05,365,0.0469316153891216,0.0467886536588028,0.0470831876281311,0.0423018455872907,0.0518538353058784,26296.344,23709,29048,556222.844,555868,556568,560312.192,560009,560596,0,500
6e+05,2e-05,365,0.0470035717244739,0.0468824791293064,0.0471313063062314,0.0422163674691603,0.0513997742035767,28730.62,25814,31414,606781.672,606412,607290,611243.216,610902,611569,0,500
650000,2e-05,365,0.0471380110660949,0.0470067057772845,0.0472685382275522,0.0423668917857704,0.0519238116523533,31213.758,28054,34384,657344.896,656940,657682,662178.28,661867,662500,0,500
7e+05,2e-05,365,0.0470740484921865,0.0469578514834876,0.0472063747048526,0.0428452234881683,0.0513301586767403,33569.162,30554,36606,707908.76,707507,708299,713114.03,712779,713432,0,500
750000,2e-05,365,0.0470648875338241,0.0469364392755792,0.0471922442705967,0.0428019943206355,0.0517878709765216,35959.892,32708,39578,758472.544,758043,758878,764049.392,763661,764414,0,500
8e+05,2e-05,365,0.0470378715102572,0.0469161349516484,0.0471561925929902,0.0430978835784043,0.0522756246265369,38335.444,35119,42605,809041.624,808669,809445,814990.8,814633,815399,0,500
850000,2e-05,365,0.0471402225511778,0.0470146622858808,0.0472589975791922,0.0426462964481048,0.0510105937707473,40820.224,36932,44179,859611.202,859086,860070,865932.002,865510,866298,0,500
9e+05,2e-05,365,0.0472389557229312,0.0471155698018463,0.0473624751382702,0.0432015896056195,0.0529713056642627,43312.048,39614,48566,910178.936,909668,910621,916871.63,916492,917326,0,500
950000,2e-05,365,0.047101043381837,0.0469784091637817,0.0472299671859721,0.0433424052078693,0.051844251284404,45584.476,41932,50173,960737.838,960336,961159,967801.74,967432,968162,0,500
1e+06,2e-05,365,0.047224446844443,0.0471107237919039,0.0473405192260726,0.0434308912127238,0.050965473039093,48109.738,44248,51925,1011310.94,1010777,1011783,1018746.848,1018294,1019149,0,500
1100000,2e-05,365,0.047286520540784,0.0471734572313733,0.0473880094613353,0.0437558445822953,0.0520324463324777,52990.19,49037,58315,1112439.916,1111984,1112932,1120619.46,1120233,1121051,0,500
1200000,2e-05,365,0.0472436228019508,0.0471398027796675,0.0473485463494471,0.0433520976781884,0.0510567124139172,57755.224,53007,62425,1213575.1,1213073,1214061,1222497.846,1222110,1222978,0,500
1300000,2e-05,365,0.0472116236739631,0.0471022710049826,0.047315511658581,0.0424659230599627,0.051161982996844,62525.628,56240,67762,1314703.688,1314101,1315232,1324369.326,1323942,1324823,0,500
1400000,2e-05,365,0.047227869468258,0.0471347038850433,0.0473231012568559,0.0439703989162537,0.0505388209033908,67358.642,62709,72091,1415838.87,1415330,1416430,1426247.834,1425770,1426694,0,500
1500000,2e-05,365,0.0473662556049344,0.0472635828050852,0.0474741862763404,0.0439203092990587,0.0508975805375013,72381.272,67126,77777,1516966.462,1516366,1517483,1528118.926,1527674,1528633,0,500
1600000,2e-05,365,0.0472341949306954,0.0471363061046687,0.0473250115511363,0.0437251394399825,0.0510952890424472,76991.77,71276,83289,1618106.624,1617554,1618604,1630000.598,1629551,1630476,0,500
1700000,2e-05,365,0.0472100807022491,0.0471222180910909,0.0473099435085595,0.0441272512150744,0.0502586993428575,81761.768,76419,87035,1719228.944,1718652,1719892,1731870.772,1731385,1732365,0,500
1800000,2e-05,365,0.0472612236750693,0.0471618354486791,0.0473605583801609,0.0440668447740036,0.0508415512486523,86665.106,80823,93228,1820356.524,1819728,1821126,1833746.772,1833281,1834263,0,500
1900000,2e-05,365,0.0472400067815724,0.0471455811929011,0.0473461652027681,0.0436989696558322,0.0500566006833415,91438.448,84595,96884,1921485.856,1920882,1922077,1935614.422,1935041,1936203,0,500
2e+06,2e-05,365,0.0473291170968516,0.0472330273425422,0.0474229257954779,0.0438841351259567,0.0508399871994471,96432.716,89422,103582,2022623.828,2021846,2023306,2037492.524,2036835,2038026,0,500
2100000,2e-05,365,0.0472841066425955,0.047197584240961,0.0473738349796907,0.0443054451366367,0.0503854899660432,101158.158,94795,107799,2123763.036,2122987,2124570,2139368.976,2138778,2139977,0,500
2200000,2e-05,365,0.0473868103531364,0.0472940789410738,0.0474755509720782,0.044056932229337,0.0503844164860706,106205.234,98740,112921,2224887.52,2224239,2225553,2241240.294,2240640,2241797,0,500
2300000,2e-05,365,0.0472542228120889,0.0471732874232616,0.0473418240110241,0.0438470172982616,0.0501366746971498,110722.218,102734,117478,2326023.726,2325242,2326698,2343118.208,2342519,2343688,0,500
2400000,2e-05,365,0.0472338936620859,0.047141726425593,0.0473341471293055,0.0440049515538629,0.0502331633337368,115486.116,107605,122845,2427145.164,2426295,2427791,2444984.496,2444411,2445535,0,500
2500000,2e-05,365,0.0472931322538937,0.0472089999544022,0.0473792424432753,0.0442811643093392,0.0502265605980886,120449.034,112782,127916,2528278.882,2527281,2529014,2546860.95,2545986,2547509,0,500
10000,2e-04,365,0.0292456794584253,0.0263774918805618,0.0322761634812138,9.79623824451411e-05,0.0991290732948429,297.805031446541,1,1013,9470.80188679245,9380,9575,10181.7421383648,10140,10220,271,318
20000,2e-04,365,0.0278757489267736,0.0260253973170212,0.0297494918733338,4.89907897315305e-05,0.0655407727428936,567.596810933941,1,1335,18941.0432801822,18828,19095,20362.861047836,20305,20424,281,439
30000,2e-04,365,0.0327490635985549,0.0308261519344983,0.0344493213034279,3.26989732522399e-05,0.0647423085744242,1000.29508196721,1,1976,28410.9159836066,28249,28570,30544.3790983607,30472,30621,220,488
