"initpop","omega","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
550000,4400,365,0.142513984048256,0.14238954920163,0.142637404894063,0.137964937324352,0.148209105757816,79851.984,77319,83026,555976.106,555596,556316,560309.786,560003,560595,0,500
6e+05,4400,365,0.14240796065707,0.14227976710486,0.142538244610883,0.138602636232906,0.146517245216572,87045.428,84721,89532,606512.702,606117,606888,611239.882,610867,611548,0,500
650000,4400,365,0.142335623548941,0.142207514344881,0.142455976053117,0.138302820879157,0.147283109506473,94251.238,91575,97497,657055.43,656585,657459,662176.028,661778,662457,0,500
7e+05,4400,365,0.142314735720609,0.14221447293011,0.142425718944699,0.138690400223273,0.146453201555975,101486.114,98890,104439,707596.01,707185,707966,713110.408,712781,713431,0,500
750000,4400,365,0.14222475782848,0.142105031363843,0.142341022730748,0.138924296636366,0.148366402419466,108666.146,106154,113323,758137.094,757606,758533,764045.214,763597,764391,0,500
8e+05,4400,365,0.142162016236355,0.142040492899867,0.14227951158044,0.138363252000201,0.146724015462583,115860.278,112772,119599,808685.254,808295,809084,814987.616,814550,815363,0,500
850000,4400,365,0.142139010873406,0.142031181827365,0.142230732986346,0.138782850549275,0.145410470126681,123082.314,120155,125907,859232.934,858774,859753,865929.154,865595,866321,0,500
9e+05,4400,365,0.142074752767767,0.141965126751345,0.142172622086403,0.138268109200022,0.146573274639746,130263.788,126766,134386,909777.186,909386,910275,916867.89,916509,917293,0,500
950000,4400,365,0.142078921999421,0.14198141646909,0.142179595579615,0.137928896878778,0.145023646732184,137503.67,133500,140352,960312.818,959824,960891,967797.87,967361,968224,0,500
1e+06,4400,365,0.142071450378664,0.141976900036863,0.142167618227581,0.138336270888372,0.146795258779357,144734.276,140963,149544,1010863.668,1010349,1011362,1018742.926,1018167,1019093,0,500
1100000,4400,365,0.142021542933412,0.141924146712976,0.142107532068242,0.138553749206953,0.144852964802233,159151.442,155274,162333,1111948.256,1111453,1112551,1120614.814,1120170,1121161,0,500
1200000,4400,365,0.141986925024771,0.14189939086002,0.142076002500894,0.138748888472592,0.144957577621664,173578.056,169609,177206,1213039.604,1212575,1213734,1222493.238,1222069,1222964,0,500
1300000,4400,365,0.141983238326167,0.141900306520135,0.142068399920926,0.13921317085215,0.145001510345869,188037.286,184371,192011,1314120.402,1313506,1314666,1324362.576,1323920,1324802,0,500
1400000,4400,365,0.142010056384626,0.141931649281564,0.142081538041263,0.139587888852577,0.145376466216548,202540.56,199042,207349,1415211.002,1414684,1415919,1426240.908,1425753,1426681,0,500
1500000,4400,365,0.141979143799711,0.14190543825448,0.142054041752821,0.13930199810502,0.144714569408593,216960.322,212888,221168,1516292.942,1515723,1516870,1528114.032,1527629,1528568,0,500
1600000,4400,365,0.141993900862664,0.141917532063451,0.142072717468845,0.139623988971096,0.144674551130396,231449.272,227573,235801,1617384.276,1616766,1618066,1629994.374,1629484,1630469,0,500
1700000,4400,365,0.141995211253701,0.141919112651307,0.142069262599284,0.139342406770891,0.144788647831057,245916.332,241292,250800,1718470.78,1717976,1719170,1731863.63,1731387,1732348,0,500
1800000,4400,365,0.141972330662393,0.141904120184763,0.142046586587237,0.139651210097434,0.144785292802373,260340.272,256072,265487,1819555.008,1818938,1820326,1833739.558,1833304,1834321,0,500
1900000,4400,365,0.141976266680597,0.141908221999683,0.142041707000074,0.139530259095083,0.144115231014833,274810.388,270137,278948,1920639.106,1919907,1921374,1935607.96,1934892,1936149,0,500
2e+06,4400,365,0.141974377674309,0.141904923422242,0.142042072584455,0.139650282974101,0.144111377309583,289270.602,284582,293609,2021726.87,2021085,2022598,2037484.582,2036887,2038039,0,500
2100000,4400,365,0.141959883020182,0.141890471171171,0.142026288524069,0.139576809101362,0.144366118175019,303703.422,298619,308828,2122814.66,2121860,2123517,2139360.99,2138751,2139991,0,500
2200000,4400,365,0.141960492753273,0.141893058889088,0.142023201871438,0.139859141418536,0.144597979242682,318166.19,313460,324050,2223894.218,2223237,2224630,2241230.49,2240737,2241776,0,500
2300000,4400,365,0.141955099473375,0.141896709615828,0.142015448723754,0.139736729817375,0.143805492895117,332616.236,327487,336982,2324983.604,2324210,2325738,2343108.798,2342467,2343734,0,500
