"initpop","xi","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
2100000,0.001,1825,0.999635932214805,0.999634639434267,0.999637351831541,0.999590460423347,0.99969323167396,2300031.556,2298675,2301280,2214968.042,2213271,2216396,2300869.228,2299525,2302125,0,500
2200000,0.001,1825,0.999646078458053,0.999644770918663,0.999647483356879,0.999593417681186,0.999699262716624,2409585.838,2408287,2410970,2320460.194,2318823,2322069,2410438.944,2409182,2411826,0,500
2300000,0.001,1825,0.999653780564038,0.999652501054582,0.999655142698327,0.999598905499993,0.999700955158742,2519130.45,2517724,2520667,2425930.054,2424194,2427690,2520002.924,2518607,2521587,0,500
2400000,0.001,1825,0.99966222391194,0.999661103316287,0.999663490289981,0.999606801198458,0.99969648435316,2628675.824,2626880,2630281,2531394.484,2529594,2533290,2629564.028,2627767,2631197,0,500
2500000,0.001,1825,0.999669845041665,0.999668700222253,0.999671055768191,0.999627279218608,0.999714089264764,2738227.816,2736749,2739683,2636880.14,2635222,2638261,2739132.154,2737662,2740573,0,500
10000,0.1,1825,0.914097211349049,0.913807060175889,0.914405626581963,0.906018434845473,0.923301413588691,10014.7075471698,10001,10124,10548.7735849057,10435,10654,10955.9371069182,10869,11066,318,318
20000,0.1,1825,0.917293585544014,0.916836590014487,0.917763602496459,0.907842248413418,0.947330052852196,20100.4533029613,20011,20792,21098.9384965831,20925,21262,21912.8656036446,21766,22068,439,439
30000,0.1,1825,0.936788387447867,0.934528481858333,0.939022323497832,0.911287392515441,0.999908678579039,30790.6352459016,30017,32993,31645.7950819672,31438,31836,32868.2581967213,32695,33052,459,488
40000,0.1,1825,0.978323780354833,0.975641016945842,0.980914270106597,0.913066277558651,0.999954372276595,42873.8343434343,40041,44013,42190.5535353535,41944,42422,43823.6343434343,43606,44026,197,495
50000,0.1,1825,0.996014371838685,0.994636614596599,0.997251165188238,0.913724487933112,0.999963544894462,54563.9337349398,50052,55003,52738.3654618474,52440,52988,54782.1345381526,54538,55014,34,498
60000,0.1,1825,0.999288972633686,0.998639881550056,0.999765232625094,0.913809364446743,0.999939165348583,65691.5742971888,60072,65996,63285.2128514056,63020,63573,65738.3273092369,65496,66005,3,498
70000,0.1,1825,0.999776310876304,0.999771258253135,0.999781139292085,0.999556176328534,0.999908793599917,76677.814,76396,76945,73833.57,73471,74129,76694.97,76412,76959,0,500
80000,0.1,1825,0.999785357352111,0.99978043334982,0.999790056407789,0.999600556937755,0.999954361344058,87632.72,87360,87926,84379.674,84031,84701,87651.534,87376,87939,0,500
90000,0.1,1825,0.9997924733212,0.99978786291159,0.999796833862093,0.999644763818687,0.999929024800763,98587.47,98255,98915,94926.674,94508,95278,98607.934,98274,98930,0,500
1e+05,0.1,1825,0.999796668279345,0.99979267980752,0.999800217340072,0.999671271903792,0.999936111567457,109541.89,109210,109867,105475.176,105035,105837,109564.168,109231,109887,0,500
150000,0.1,1825,0.999811753172389,0.999808637696691,0.999814774485685,0.999701447067784,0.999914720985338,164316.218,163919,164744,158213.216,157675,158699,164347.156,163950,164776,0,500
2e+05,0.1,1825,0.999819441932716,0.999816860195232,0.999821985743616,0.999730829592321,0.999908813619598,219091.104,218629,219563,210952.416,210375,211480,219130.67,218667,219600,0,500
250000,0.1,1825,0.999823864989323,0.999821658854817,0.999826162413344,0.999740654427504,0.999901510895813,273865.892,273353,274398,263690.804,263069,264288,273914.138,273401,274441,0,500
