"initpop","delta_C","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
1600000,60,365,0.0373248468090892,0.0372387758924854,0.0374180683366973,0.034230754132789,0.0407400910024376,60839.386,55809,66418,1617699.854,1617002,1618354,1629997.152,1629389,1630501,0,500
1700000,60,365,0.0373885666322571,0.037300297162244,0.0374731446670946,0.0346482849110519,0.0408705137629619,64752.022,59996,70776,1718794.934,1717984,1719471,1731866.78,1731385,1732475,0,500
1800000,60,365,0.0373392488763701,0.037262905086402,0.0374199235339309,0.034962338559741,0.0404511479129228,68470.582,64106,74169,1819902.11,1819102,1820601,1833742.992,1833268,1834261,0,500
1900000,60,365,0.0374205152259768,0.0373410636679613,0.0375031334409566,0.0346236188059375,0.0403059316096954,72431.566,67019,78016,1921002.662,1920181,1921864,1935610.74,1935041,1936358,0,500
2e+06,60,365,0.0374583866189351,0.0373768349508247,0.0375356673059192,0.0348804905248443,0.0399340518779459,76321.006,71063,81360,2022118.452,2021438,2023075,2037488.006,2036834,2038307,0,500
2100000,60,365,0.0374097357470236,0.0373296954492069,0.0374871543889776,0.0350357926941015,0.0397012670487851,80033.05,74941,84933,2123225.518,2122541,2124001,2139364.544,2138837,2139950,0,500
2200000,60,365,0.0373940524185307,0.0373169256848108,0.0374719783896379,0.035039323523834,0.0405114188500036,83808.85,78524,90798,2224330.566,2223588,2225111,2241234.836,2240664,2241773,0,500
2300000,60,365,0.0374578983858662,0.0373823024673665,0.0375322232829457,0.034684303655063,0.0400434161492539,87768.066,81269,93818,2325437.836,2324664,2326045,2343112.11,2342536,2343694,0,500
2400000,60,365,0.0373785151901949,0.0373022375133745,0.0374526944089972,0.0349125774599041,0.040000883473162,91389.64,85366,97798,2426535.234,2425693,2427273,2444977.884,2444214,2445549,0,500
2500000,60,365,0.0374311508249591,0.0373567026588441,0.037505409955611,0.0348906325698775,0.040074767705408,95331.712,88870,102074,2527644.534,2526873,2528349,2546854.782,2546218,2547438,0,500
10000,120,365,0.023778496994084,0.0215533050727192,0.0259281560496659,9.7904836498923e-05,0.0913909885147737,242.264150943396,1,931,10110.7358490566,10065,10153,10187.8113207547,10147,10228,299,318
20000,120,365,0.0200237079617553,0.0184973158703336,0.021589380920396,4.89715964740451e-05,0.0601883645639164,407.956719817768,1,1227,20221.6469248292,20151,20291,20374.8200455581,20315,20436,363,439
30000,120,365,0.0215441930668935,0.0203688511545536,0.0226920535546087,3.26786706316787e-05,0.0475832051575744,658.47131147541,1,1454,30332.3647540984,30261,30413,30562.2233606557,30487,30639,329,488
40000,120,365,0.0252185303599176,0.0241538213663865,0.0263345857104805,2.45314493180257e-05,0.0444608023555392,1027.68484848485,1,1812,40443.2585858586,40350,40547,40749.5414141414,40672,40843,223,495
50000,120,365,0.0266849610624794,0.0258928411651705,0.0274423630653766,1.96278558530266e-05,0.0393657521880765,1359.29518072289,1,2006,50553.8975903614,50444,50660,50937.2449799197,50835,51032,142,498
60000,120,365,0.0279638089154045,0.0273138832009778,0.0285743254546068,3.27171601504989e-05,0.0379053103425711,1709.29718875502,2,2317,60664.5983935743,60553,60780,61124.8172690763,61017,61224,80,498
70000,120,365,0.0278439639042347,0.027355957376976,0.0283059005569979,0.0019506307975133,0.0378393546124167,1985.606,139,2697,70775.148,70653,70904,71312.054,71196,71429,53,500
80000,120,365,0.0285196198180405,0.0281212335767821,0.0289170980606754,0.00180474389824682,0.0382459368291935,2324.338,147,3118,80885.622,80755,81002,81499.486,81381,81622,34,500
90000,120,365,0.0276872431263246,0.0273276012460272,0.0280346662062735,3.26840109818277e-05,0.035050040337527,2538.58,3,3215,90997.28,90850,91129,91687.536,91566,91805,31,500
1e+05,120,365,0.0283076087442136,0.0280465923055262,0.028540507164679,0.00353374233128834,0.0370428550390261,2883.814,360,3773,101107.14,100925,101249,101874.096,101746,102000,9,500
150000,120,365,0.0278262564111193,0.0276633864093188,0.0279832844600741,0.0223034471935973,0.0336165786839885,4252.176,3411,5139,151662.138,151471,151828,152811.8,152655,152968,0,500
2e+05,120,365,0.0279213968670264,0.0277889591050053,0.0280599509694233,0.0238572101790763,0.0337835517375029,5688.962,4860,6886,202215.712,201989,202422,203749.194,203571,203931,0,500
250000,120,365,0.0275293200547951,0.027402873909432,0.0276607551093035,0.0238157889569203,0.0327658989613398,7011.346,6064,8344,252770.418,252519,252989,254686.47,254490,254888,0,500
3e+05,120,365,0.0276956921030867,0.0275828196326933,0.0278111455926941,0.0235989358882486,0.031771371743369,8464.462,7212,9712,303324.5,303040,303584,305624.064,305397,305848,0,500
350000,120,365,0.0275910991815622,0.0274726837424755,0.0276984858637922,0.023848847936605,0.0317921669846257,9837.93,8505,11332,353878.242,353582,354148,356561.524,356311,356792,0,500
4e+05,120,365,0.0275835521045404,0.0274824209648513,0.0276812350727062,0.0247479916647645,0.0317258198269813,11240.27,10083,12931,404432.566,404130,404722,407499.084,407243,407760,0,500
450000,120,365,0.0276993612970833,0.0275984367325177,0.0278015784982738,0.0244008315391545,0.0304591895730565,12698.386,11186,13963,454986.036,454658,455296,458436.12,458157,458703,0,500
5e+05,120,365,0.0277265224080395,0.0276257479155101,0.0278300094308326,0.024747791952895,0.0309091979743258,14123.166,12608,15747,505539.902,505197,505866,509373.766,509091,509650,0,500
550000,120,365,0.0275830268507536,0.0274891689349122,0.0276748649101416,0.0244206258276137,0.0307335061077913,15455.074,13684,17219,556093.204,555743,556433,560310.862,560005,560596,0,500
6e+05,120,365,0.0276046510402146,0.0275115044767451,0.0276918850865626,0.0239801128552912,0.0307116423497384,16873.106,14653,18772,606639.84,606269,607060,611241.222,610924,611514,0,500
650000,120,365,0.0276073288417028,0.0275104122823229,0.0276927408887233,0.0242721305385804,0.0305981893919027,18280.93,16074,20259,657192.11,656726,657605,662176.936,661790,662483,0,500
7e+05,120,365,0.0276060596078992,0.0275227897534063,0.02769078665563,0.0250269257522382,0.0307662967419137,19686.232,17846,21940,707743.844,707356,708180,713112.818,712732,713422,0,500
750000,120,365,0.0275420335649593,0.0274568496503557,0.0276292923192135,0.0247901007097841,0.03100328850515,21043.43,18943,23692,758294.908,757782,758771,764047.868,763621,764434,0,500
