"initpop","beta","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
1600000,0.425,1825,0.228242898687119,0.228011680754559,0.228457257872206,0.221137375715929,0.235291903253129,400176.008,387685,412522,1690296.338,1689028,1691841,1753290.09,1752123,1754484,0,500
1700000,0.425,1825,0.22825075295991,0.228056627740785,0.22847808667326,0.221156978488386,0.23504046368147,425202.536,412086,437800,1795932.002,1794387,1797867,1862874.656,1861382,1864104,0,500
1800000,0.425,1825,0.228181149143001,0.227949879152172,0.228385771284007,0.222022590130933,0.235211304021167,450075.61,438067,463963,1901566.432,1899843,1903286,1972448.544,1971034,1973867,0,500
1900000,0.425,1825,0.228489479410896,0.228279286252347,0.228703228993603,0.221419480026705,0.236356835303422,475725.242,461002,492228,2007227.284,2005492,2008952,2082044.332,2080539,2083850,0,500
2e+06,0.425,1825,0.228357750756524,0.228167476261321,0.228532311207485,0.222536308959138,0.235351580331221,500477.208,487697,515580,2112889.328,2111271,2114514,2191636.656,2190126,2193035,0,500
2100000,0.425,1825,0.228492304327782,0.228289688156789,0.228695939793673,0.222684683541774,0.235651749386918,525810.97,512460,542061,2218532.952,2216710,2220246,2301219.862,2299612,2302631,0,500
2200000,0.425,1825,0.228855203482771,0.228647165484906,0.229045199976251,0.222594300196824,0.235193787257206,551723.926,536627,566881,2324165.512,2322556,2325652,2410799.232,2409401,2412082,0,500
2300000,0.425,1825,0.228601031523902,0.228410148724132,0.228803397937143,0.222917147079007,0.235483003088039,576160.038,561648,593428,2429802.938,2427806,2431451,2520373.816,2519042,2521681,0,500
2400000,0.425,1825,0.22865269072797,0.228471661295384,0.22884758075515,0.223137054945857,0.234460899286554,601346.92,586848,616480,2535459.706,2533254,2537055,2629957.552,2628207,2631357,0,500
2500000,0.425,1825,0.228734255594286,0.228530644078855,0.228944006186469,0.223367452984639,0.234278588208845,626626.702,611910,641932,2641096.53,2639528,2642943,2739540.23,2738046,2741079,0,500
10000,0.475,1825,0.0520905062349648,0.0465292550600946,0.0577358097131907,9.07441016333938e-05,0.239390344072283,570.707547169811,1,2623,10567.7672955975,10450,10682,10957.5974842767,10873,11068,318,318
20000,0.475,1825,0.0840913556855226,0.0767299920320623,0.0911062305604115,4.54959053685168e-05,0.280953683442743,1843.06833712984,1,6163,21136.6674259681,20968,21297,21916.4692482916,21767,22074,439,439
30000,0.475,1825,0.122696001164722,0.115169021627548,0.130051651198743,3.02773404384159e-05,0.261390960280018,4033.09426229508,1,8588,31700.2295081967,31463,31888,32873.3217213115,32699,33053,442,488
40000,0.475,1825,0.181205485198149,0.174564564961255,0.188499890940423,2.28086581666401e-05,0.269144169755964,7941.71515151515,1,11834,42261.8525252525,42029,42497,43830.2282828283,43615,44036,331,495
50000,0.475,1825,0.197679243295965,0.192368047555137,0.203146472077502,0.00012777453271028,0.260603178667447,10830.7771084337,7,14252,52827.6465863454,52579,53083,54790.6064257028,54555,55025,218,498
60000,0.475,1825,0.225320552689914,0.220661925589513,0.229335251505096,0.00247912515779708,0.266291022614787,14814.4558232932,163,17486,63389.9196787149,63128,63700,65748.5180722892,65516,66012,111,498
70000,0.475,1825,0.23206568592439,0.229442790398228,0.234180117285602,0.00374146112530636,0.256697648988518,17801.164,287,19719,73953.042,73660,74243,76706.658,76431,76962,52,500
80000,0.475,1825,0.237146402240868,0.234486452498498,0.23952217763531,0.00172329182977072,0.262079831932773,20789.344,151,22954,84516.758,84210,84843,87664.854,87394,87954,36,500
90000,0.475,1825,0.239160474753723,0.237788907622056,0.24027940296266,0.00552811222574984,0.256872373816635,23586.798,545,25370,95082.342,94728,95418,98623.252,98300,98941,13,500
1e+05,0.475,1825,0.241655271965163,0.240846731218377,0.242398675278961,0.133723740980945,0.260789413643623,26480.726,14660,28576,105646.06,105306,106009,109580.882,109260,109897,13,500
150000,0.475,1825,0.243638157940508,0.243207953871898,0.244054302533909,0.228188817397862,0.260656785464285,40047.324,37522,42822,158466.744,158045,158909,164372.29,163994,164795,0,500
2e+05,0.475,1825,0.245828696552014,0.24544827839491,0.246205672166913,0.232867215791442,0.258322528806998,53876.774,51058,56584,211285.07,210795,211808,219163.728,218717,219633,0,500
250000,0.475,1825,0.246275326602755,0.245941844083645,0.246621673857515,0.234314326589005,0.259692894068168,67468.278,64204,71133,264108.366,263558,264672,273954.72,273456,274467,0,500
3e+05,0.475,1825,0.247462032731053,0.247109239784216,0.247788436615909,0.236519063919306,0.257069924942421,81352.322,77713,84494,316927.858,316304,317551,328746.82,328198,329300,0,500
350000,0.475,1825,0.24797101310899,0.247693225899324,0.248268029084771,0.238267006776107,0.259416972036222,95106.29,91353,99606,369749.488,369081,370408,383538.218,382952,384170,0,500
4e+05,0.475,1825,0.248243363037788,0.247982144868182,0.248530725763479,0.238058312655087,0.261458706653914,108812.256,104380,114538,422569.482,421849,423292,438329.058,437678,438999,0,500
450000,0.475,1825,0.248489130215183,0.248218391661887,0.248779615835707,0.239576024755547,0.262817887253689,122535.194,118145,129616,475391.878,474669,476148,493120.854,492453,493819,0,500
5e+05,0.475,1825,0.248590992559069,0.248343414494924,0.248835007831797,0.240621583091012,0.257459581767089,136205.966,131819,141093,528211.4,527417,529048,547912.004,547211,548637,0,500
550000,0.475,1825,0.24878994435195,0.248538798267827,0.249037038155984,0.240535164111353,0.257899795646999,149946.654,144978,155356,581033.14,580215,581833,602703.898,601953,603490,0,500
6e+05,0.475,1825,0.24904782425773,0.248791148146411,0.249306493005862,0.24138293176664,0.25842050495646,163746.772,158591,169866,633847.602,633018,634724,657491.392,656741,658207,0,500
650000,0.475,1825,0.249074575006044,0.248821482304611,0.249318148229822,0.242365243385084,0.257614760325866,177411.068,172534,183440,686666.1,685664,687587,712281.044,711506,713093,0,500
7e+05,0.475,1825,0.248985935434365,0.248758062980019,0.249218666583772,0.241492376971597,0.259901170825836,190991.81,185229,199339,739492.344,738354,740525,767078.906,766026,767951,0,500
750000,0.475,1825,0.249185476872904,0.248978419655542,0.249402708262673,0.242052154070895,0.257628405869774,204796.774,199001,211676,792308.558,791407,793306,821864.78,820975,822666,0,500
